Aaron Brooks,"(0.4375, 8)"
Aaron Gordon,"(0.7727272727272727, 11)"
Al Horford,"(0.5862068965517241, 29)"
Al Jefferson,"(0.3333333333333333, 9)"
Al-Farouq Aminu,"(0.3333333333333333, 27)"
Alec Burks,"(0.6111111111111112, 36)"
Alex Len,"(0.5, 8)"
Alexis Ajinca,"(0.5714285714285714, 7)"
Allen Crabbe,"(0.425, 20)"
Alonzo Gee,"(0.6666666666666666, 3)"
Amir Johnson,"(0.0, 4)"
Andre Drummond,"(0.56, 25)"
Andre Iguodala,"(0.625, 12)"
Andre Miller,"(0.0, 2)"
Andre Roberson,"(0.375, 4)"
Andrew Bogut,"(0.3333333333333333, 6)"
Andrew Nicholson,"(0.3125, 8)"
Andrew Wiggins,"(0.5223880597014925, 67)"
Anthony Brown,"(0.2, 5)"
Anthony Davis,"(0.5222222222222223, 45)"
Anthony Morrow,"(0.65625, 16)"
Anthony Tolliver,"(0.875, 8)"
Archie Goodwin,"(0.5, 9)"
Aron Baynes,"(0.75, 4)"
Arron Afflalo,"(0.525, 20)"
Austin Rivers,"(0.375, 12)"
Avery Bradley,"(0.4, 25)"
Ben McLemore,"(0.875, 4)"
Bismack Biyombo,"(0.8, 10)"
Blake Griffin,"(0.5760869565217391, 46)"
Bobby Portis,"(0.6666666666666666, 3)"
Bojan Bogdanovic,"(0.5277777777777778, 18)"
Boris Diaw,"(0.6, 5)"
Bradley Beal,"(0.578125, 32)"
Brandan Wright,"(1.0, 2)"
Brandon Bass,"(0.6, 10)"
Brandon Jennings,"(0.0, 1)"
Brandon Knight,"(0.48214285714285715, 56)"
Brandon Rush,"(0.7142857142857143, 14)"
Brian Roberts,"(0.35714285714285715, 7)"
Brook Lopez,"(0.3333333333333333, 27)"
C.J. Watson,"(1.5, 1)"
CJ McCollum,"(0.4777777777777778, 45)"
CJ Miles,"(0.3409090909090909, 22)"
Cameron Payne,"(0.36666666666666664, 15)"
Carmelo Anthony,"(0.330188679245283, 53)"
Chandler Parsons,"(0.5, 4)"
Channing Frye,"(1.0, 1)"
Charlie Villanueva,"(0.375, 12)"
Chase Budinger,"(0.5, 4)"
Chris Andersen,"(0.0, 2)"
Chris Bosh,"(0.5689655172413793, 29)"
Chris Johnson,"(0.6666666666666666, 6)"
Chris Paul,"(0.5471698113207547, 53)"
Clint Capela,"(0.5, 4)"
Cody Zeller,"(0.4444444444444444, 9)"
Cole Aldrich,"(0.5, 2)"
Corey Brewer,"(0.43333333333333335, 15)"
Cory Joseph,"(0.675, 20)"
Courtney Lee,"(0.4473684210526316, 19)"
Cristiano Felicio,"(0.0, 1)"
D'Angelo Russell,"(0.44594594594594594, 37)"
D.J. Augustin,"(0.4166666666666667, 6)"
Damian Lillard,"(0.5066666666666667, 75)"
Danilo Gallinari,"(0.375, 28)"
Danny Green,"(0.8333333333333334, 3)"
Darrell Arthur,"(0.5, 11)"
Darren Collison,"(0.52, 25)"
Darrun Hilliard,"(0.3333333333333333, 3)"
David Lee,"(0.3333333333333333, 3)"
David West,"(0.75, 4)"
DeAndre Jordan,"(0.7692307692307693, 13)"
DeMar DeRozan,"(0.47413793103448276, 58)"
DeMarcus Cousins,"(0.375, 48)"
DeMarre Carroll,"(0.55, 10)"
Dennis Schroder,"(0.38235294117647056, 17)"
Deron Williams,"(0.359375, 32)"
Derrick Favors,"(0.5555555555555556, 27)"
Derrick Rose,"(0.3375, 40)"
Derrick Williams,"(0.2, 5)"
Devin Booker,"(0.65, 10)"
Devin Harris,"(0.75, 2)"
Dewayne Dedmon,"(0.5, 2)"
Dion Waiters,"(0.6, 10)"
Dirk Nowitzki,"(0.48863636363636365, 44)"
Donald Sloan,"(0.8, 5)"
Donatas Motiejunas,"(1.25, 2)"
Doug McDermott,"(0.5, 6)"
Draymond Green,"(0.5416666666666666, 24)"
Drew Gooden,"(1.0, 1)"
Dwight Howard,"(0.5714285714285714, 7)"
Dwight Powell,"(0.0, 1)"
Dwyane Wade,"(0.525, 40)"
E'Twaun Moore,"(0.75, 4)"
Ed Davis,"(0.5, 4)"
Elfrid Payton,"(0.40540540540540543, 37)"
Emmanuel Mudiay,"(0.38461538461538464, 26)"
Enes Kanter,"(0.7777777777777778, 9)"
Eric Bledsoe,"(0.47619047619047616, 42)"
Eric Gordon,"(0.5909090909090909, 22)"
Ersan Ilyasova,"(0.38235294117647056, 17)"
Evan Fournier,"(0.6785714285714286, 28)"
Evan Turner,"(0.2608695652173913, 23)"
Festus Ezeli,"(0.6, 5)"
Frank Kaminsky,"(0.21875, 16)"
Garrett Temple,"(0.6428571428571429, 14)"
Gary Harris,"(0.5952380952380952, 21)"
George Hill,"(0.45454545454545453, 11)"
Gerald Green,"(0.5588235294117647, 17)"
